Tiempo(s),Fuerza(N)
0,8.600973128
0.1,16.78208179
0.2,31.20347596
0.3,41.10976075
0.4,43.89969401
0.5,40.67846672
0.6,34.64035028
0.7,33.57559314
0.8,34.64035028
0.9,35.28729132
1,35.07164431
1.1,35.50293834
1.2,36.14987939
1.3,36.3655264
1.4,35.07164431
1.5,35.50293834
1.6,35.93423237
1.7,35.71858535
1.8,36.14987939
1.9,36.14987939
2,35.93423237
2.1,34.85599729
2.2,33.57559314
2.3,32.28171104
2.4,31.63476999
2.5,30.98782895
2.6,29.90959387
2.7,29.90959387
2.8,30.3408879
2.9,30.77218193
3,31.63476999
3.1,29.90959387
3.2,25.39448448
3.3,23.66930835
3.4,25.82577851
3.5,25.82577851
3.6,24.74754343
3.7,24.74754343
3.8,43.03710595
3.9,49.49303848
4,43.684047
4.1,40.4628197
4.2,37.01246745
4.3,35.07164431
4.4,31.20347596
4.5,28.40006476
4.6,27.32182968
4.7,27.10618266
4.8,25.61013149
4.9,24.3162494
5,23.88495537
5.1,23.88495537
5.2,24.74754343
5.3,26.89053565
5.4,28.40006476
5.5,29.26265282
5.6,29.47829984
5.7,29.90959387
5.8,29.26265282
5.9,28.40006476
6,27.75312371
6.1,28.18441774
6.2,29.04700581
6.3,29.04700581
6.4,29.04700581
6.5,28.40006476
6.6,28.18441774
6.7,28.18441774
6.8,27.5374767
6.9,27.10618266
7,26.25707254
7.1,25.39448448
7.2,24.96319045
7.3,24.74754343
7.4,24.96319045
7.5,24.96319045
7.6,24.74754343
7.7,24.3162494
7.8,24.10060238
7.9,24.10060238
8,24.96319045
8.1,25.39448448
8.2,25.61013149
8.3,25.61013149
8.4,25.61013149
8.5,25.61013149
8.6,25.61013149
8.7,25.82577851
8.8,26.47271956
8.9,27.96877073
9,29.69394685
9.1,29.26265282
9.2,30.55653492
9.3,30.55653492
9.4,30.77218193
9.5,30.55653492
9.6,30.3408879
9.7,29.90959387
9.8,29.90959387
9.9,29.69394685
10,29.47829984
10.1,29.26265282
10.2,28.83135879
10.3,28.61571177
10.4,28.40006476
10.5,28.18441774
10.6,27.75312371
10.7,27.75312371
10.8,28.18441774
10.9,27.96877073
11,28.18441774
11.1,28.18441774
11.2,28.18441774
11.3,28.18441774
11.4,28.61571177
11.5,28.18441774
11.6,28.40006476
11.7,29.26265282
11.8,30.12524088
11.9,29.90959387
12,29.26265282
12.1,29.26265282
12.2,28.83135879
12.3,29.26265282
12.4,29.04700581
12.5,29.26265282
12.6,30.12524088
12.7,32.06606403
12.8,32.71300507
12.9,31.85041701
13,32.06606403
13.1,31.63476999
13.2,30.98782895
13.3,30.77218193
13.4,31.63476999
13.5,30.98782895
13.6,30.55653492
