Tiempo(s),Fuerza(N)
0,3.654569705
0.1,4.732804783
0.2,5.581914908
0.3,6.228855955
0.4,9.247914175
0.5,18.2916109
0.6,35.28729132
0.7,40.4628197
0.8,30.12524088
0.9,8.600973128
1,5.366267892
1.1,4.301510752
1.2,4.301510752
1.3,5.797561923
1.4,20.43460312
1.5,38.52199656
1.6,42.60581192
1.7,37.87505551
1.8,26.68836657
1.9,14.62561163
2,5.150620876
2.1,3.654569705
2.2,3.654569705
2.3,4.732804783
2.4,11.62003135
2.5,16.56643477
2.6,24.96319045
2.7,30.3408879
2.8,28.18441774
2.9,24.10060238
3,23.23801432
3.1,17.42902283
3.2,6.875797002
3.3,3.87021672
3.4,3.438922689
3.5,5.150620876
3.6,9.247914175
3.7,21.29719118
3.8,32.92865209
3.9,39.16893761
4,38.95329059
4.1,29.04700581
4.2,11.18873732
4.3,4.93497386
4.4,3.654569705
4.5,3.223275673
4.6,3.223275673
4.7,6.660149986
4.8,20.00330908
4.9,30.12524088
5,30.98782895
5.1,30.12524088
5.2,27.32182968
5.3,15.05690566
5.4,6.228855955
5.5,4.301510752
5.6,3.438922689
5.7,3.007628657
5.8,4.301510752
5.9,32.49735806
6,47.99698731
6.1,47.7813403
6.2,46.27181119
6.3,42.60581192
6.4,21.08154416
6.5,5.797561923
6.6,3.438922689
6.7,3.007628657
6.8,2.576334626
6.9,2.791981642
7,8.600973128
7.1,19.36984598
7.2,27.10618266
7.3,27.32182968
7.4,24.10060238
7.5,14.40996461
7.6,5.150620876
7.7,3.223275673
7.8,2.576334626
7.9,2.576334626
8,7.522738049
8.1,25.17883746
8.2,36.58117342
8.3,41.10976075
8.4,39.81587865
8.5,36.79682043
8.6,14.84125865
8.7,3.87021672
8.8,3.007628657
8.9,2.791981642
9,2.791981642
9.1,3.223275673
9.2,9.247914175
9.3,25.61013149
9.4,35.07164431
9.5,39.60023164
9.6,36.14987939
9.7,26.25707254
9.8,12.68478849
9.9,3.87021672
10,2.36068761
10.1,2.576334626
10.2,2.36068761
10.3,4.517157767
10.4,15.91949372
10.5,31.85041701
10.6,43.03710595
10.7,41.54105478
10.8,17.86031687
10.9,5.797561923
11,2.791981642
11.1,2.576334626
11.2,2.576334626
11.3,4.732804783
11.4,12.25349446
11.5,24.3162494
11.6,35.28729132
11.7,34.00688717
11.8,21.72848521
11.9,7.522738049
12,4.085863736
12.1,3.007628657
12.2,2.576334626
12.3,4.085863736
12.4,13.54737655
12.5,21.29719118
12.6,30.77218193
12.7,41.54105478
12.8,43.03710595
12.9,38.09070253
13,29.47829984
13.1,13.97867058
13.2,5.150620876
13.3,3.87021672
13.4,3.87021672
13.5,4.732804783
13.6,7.95403208
13.7,17.64466985
13.8,26.47271956
13.9,29.04700581
14,27.75312371
14.1,25.61013149
14.2,24.3162494
14.3,14.62561163
14.4,5.797561923
14.5,3.654569705
14.6,2.791981642
14.7,6.013208939
14.8,20.2189561
14.9,28.40006476
15,34.00688717
15.1,35.50293834
15.2,34.00688717
15.3,32.71300507
15.4,15.05690566
15.5,5.150620876
15.6,3.87021672
15.7,3.438922689
15.8,4.085863736
15.9,14.84125865
16,25.61013149
16.1,32.28171104
16.2,35.07164431
16.3,34.20905624
16.4,32.06606403
16.5,25.82577851
16.6,12.68478849
16.7,5.150620876
16.8,3.87021672
16.9,3.438922689
17,3.87021672
17.1,16.35078776
17.2,31.41912298
17.3,34.85599729
17.4,35.07164431
17.5,35.07164431
17.6,33.57559314
17.7,18.93855194
17.8,6.013208939
17.9,3.438922689
18,3.223275673
18.1,3.438922689
18.2,6.660149986
18.3,23.66930835
18.4,30.55653492
18.5,31.63476999
18.6,31.20347596
18.7,30.98782895
18.8,27.5374767
18.9,21.51283819
19,10.9730903
19.1,4.93497386
19.2,3.654569705
19.3,3.654569705
19.4,3.654569705
19.5,3.87021672
19.6,4.085863736
19.7,4.301510752
19.8,4.301510752
19.9,4.517157767
20,4.517157767
20.1,4.517157767
20.2,4.517157767
20.3,4.732804783
20.4,4.517157767
20.5,4.517157767
20.6,4.517157767
20.7,4.517157767
20.8,4.085863736
20.9,3.438922689
21,2.576334626
21.1,2.36068761
21.2,2.36068761
21.3,2.36068761
21.4,2.36068761
21.5,2.36068761
21.6,2.36068761
21.7,8.169679096
21.8,49.7086855
21.9,77.05542268
22,84.80523731
22.1,93.40416206
22.2,93.61980908
