Tiempo(s),Fuerza(N)
0,3.87021672
0.1,4.085863736
0.2,4.085863736
0.3,5.581914908
0.4,7.95403208
0.5,12.9004355
0.6,19.78766207
0.7,25.39448448
0.8,28.61571177
0.9,29.26265282
1,27.5374767
1.1,26.68836657
1.2,25.82577851
1.3,26.04142552
1.4,26.68836657
1.5,27.96877073
1.6,29.26265282
1.7,29.04700581
1.8,28.83135879
1.9,28.61571177
2,28.61571177
2.1,28.61571177
2.2,28.40006476
2.3,28.40006476
2.4,28.40006476
2.5,28.83135879
2.6,28.83135879
2.7,28.83135879
2.8,29.04700581
2.9,29.26265282
3,29.26265282
3.1,29.47829984
3.2,29.26265282
3.3,29.04700581
3.4,29.04700581
3.5,29.04700581
3.6,29.04700581
3.7,29.04700581
3.8,28.40006476
3.9,28.61571177
4,28.40006476
4.1,27.5374767
4.2,27.5374767
4.3,26.89053565
4.4,27.32182968
4.5,27.32182968
4.6,27.32182968
4.7,27.5374767
4.8,28.18441774
4.9,27.75312371
5,27.75312371
5.1,28.18441774
5.2,28.18441774
5.3,28.40006476
5.4,28.18441774
5.5,27.32182968
5.6,27.75312371
5.7,27.32182968
5.8,26.68836657
5.9,27.5374767
6,28.40006476
6.1,29.47829984
6.2,30.12524088
6.3,30.12524088
6.4,29.90959387
6.5,30.55653492
6.6,30.55653492
6.7,30.12524088
6.8,30.12524088
6.9,30.12524088
7,29.90959387
7.1,29.69394685
7.2,29.90959387
7.3,29.69394685
7.4,29.47829984
7.5,30.55653492
7.6,31.20347596
7.7,31.41912298
7.8,30.55653492
7.9,31.20347596
8,31.41912298
8.1,32.71300507
8.2,32.92865209
8.3,33.35994612
8.4,32.49735806
8.5,33.1442991
8.6,32.49735806
8.7,32.49735806
8.8,32.49735806
8.9,32.28171104
9,32.28171104
9.1,32.28171104
9.2,32.49735806
9.3,32.71300507
9.4,32.71300507
9.5,31.85041701
9.6,32.49735806
9.7,32.92865209
9.8,32.92865209
9.9,32.92865209
10,33.1442991
10.1,33.35994612
10.2,32.92865209
10.3,32.92865209
10.4,32.92865209
10.5,32.71300507
10.6,32.71300507
10.7,32.71300507
10.8,32.71300507
10.9,32.49735806
11,32.71300507
11.1,32.92865209
11.2,33.1442991
11.3,33.57559314
11.4,34.00688717
11.5,33.79124015
11.6,33.57559314
11.7,33.35994612
11.8,32.92865209
11.9,32.92865209
12,32.92865209
12.1,33.1442991
12.2,33.35994612
12.3,32.92865209
12.4,32.92865209
12.5,32.92865209
12.6,32.92865209
12.7,31.63476999
12.8,31.63476999
12.9,32.28171104
13,32.49735806
13.1,32.49735806
13.2,32.28171104
13.3,32.49735806
13.4,32.49735806
13.5,32.92865209
13.6,32.92865209
13.7,32.92865209
13.8,32.92865209
13.9,33.35994612
14,33.35994612
14.1,33.57559314
14.2,34.20905624
14.3,34.20905624
14.4,34.00688717
14.5,34.42470326
14.6,33.57559314
14.7,33.35994612
14.8,33.57559314
14.9,33.57559314
15,34.20905624
15.1,34.00688717
15.2,34.00688717
15.3,33.57559314
15.4,33.57559314
15.5,33.79124015
15.6,33.57559314
15.7,33.57559314
15.8,33.79124015
15.9,33.57559314
16,33.57559314
16.1,33.57559314
16.2,33.57559314
16.3,34.00688717
16.4,33.57559314
16.5,33.57559314
16.6,33.57559314
16.7,33.35994612
16.8,33.35994612
16.9,33.57559314
17,33.57559314
17.1,34.20905624
17.2,34.42470326
17.3,33.57559314
17.4,33.57559314
17.5,33.57559314
17.6,33.57559314
17.7,33.35994612
17.8,32.92865209
17.9,32.71300507
18,32.92865209
18.1,32.71300507
18.2,32.92865209
18.3,32.71300507
18.4,32.28171104
18.5,32.49735806
18.6,32.71300507
18.7,33.35994612
18.8,32.71300507
18.9,31.41912298
19,31.85041701
19.1,31.63476999
19.2,31.85041701
19.3,31.63476999
19.4,31.85041701
19.5,31.20347596
19.6,30.98782895
19.7,31.41912298
19.8,31.85041701
19.9,31.63476999
20,32.28171104
20.1,32.28171104
20.2,32.71300507
