Tiempo (mín),Tasa de Flujo (mL/s)
0,-103.5457156
0.01,-145.7973035
0.02,-210.6624174
0.03,-90.45367425
0.04,31.54034729
0.05,61.29498669
0.06,91.04962609
0.07,55.34405881
0.08,-7.735776715
0.09,-14.28179738
0.1,-162.4599016
0.11,-232.0857578
0.12,-142.2267468
0.13,-142.8218396
0.14,42.25201748
0.15,124.969915
0.16,92.23981167
0.17,33.32562566
0.18,-20.82781805
0.19,2.380800681
0.2,-288.6195726
0.21,-307.6625419
0.22,-203.521304
0.23,57.12933718
0.24,173.7675236
0.25,145.7981626
0.26,79.14777033
0.27,30.9452545
0.28,0.595522317
0.29,15.47284202
0.3,-614.1353277
0.31,-867.6448554
0.32,-798.614092
0.33,-94.02423097
0.34,85.693791
0.35,273.1480192
0.36,270.7676481
0.37,316.5897927
0.38,271.3627409
0.39,155.91474
0.4,57.12933718
0.41,104.1416674
0.42,-204.1163968
0.43,-247.5581703
0.44,-176.7421285
0.45,-72.60089061
0.46,140.4423275
0.47,668.2896304
0.48,803.9707861
0.49,652.2221252
0.5,249.9394005
0.51,-58.31866369
0.52,-493.3314917
0.53,-632.5832041
0.54,-301.711614
0.55,-148.1776747
0.56,136.276678
0.57,127.9453789
0.58,64.27045063
0.59,86.28888379
0.6,-305.2821707
0.61,-399.3068312
0.62,-291.5950366
0.63,-255.2943765
0.64,23.80414105
0.65,154.7245544
0.66,168.4116885
0.67,133.301214
0.68,141.0374203
0.69,33.32562566
0.7,27.37469778
0.71,-461.1964812
0.72,-948.5774745
0.73,-1363.357148
0.74,-273.7422529
0.75,8.926821349
0.76,1064.621427
0.77,1820.984361
0.78,1303.848728
0.79,498.6881859
0.8,68.43610015
0.81,-205.9016751
0.82,-378.4785836
0.83,-532.6076157
0.84,-424.3007283
0.85,-359.4356144
0.86,-232.6808506
0.87,270.7676481
0.88,260.6510707
0.89,111.2827809
0.9,22.61395547
0.91,-217.2084381
0.92,-355.2699649
0.93,-338.6073668
0.94,-279.6931808
0.95,-242.797428
0.96,155.3196472
0.97,282.6695038
0.98,11.90228529
0.99,-44.63152957
1,-45.22662236
