Tiempo(s)	Caudal(L/s)	Volumen(L)
0	-0.061294128	0
0.02	-0.061294128	0.001225883
0.04	-0.061294128	0.002451765
0.06	-0.051772643	0.003582433
0.08	-0.051772643	0.004617886
0.1	-0.061294128	0.005748553
0.12	-0.061294128	0.006974436
0.14	-0.061294128	0.008200318
0.16	-0.061294128	0.009426201
0.18	-0.051772643	0.010556869
0.2	-0.061294128	0.011687536
0.22	-0.071410705	0.013014585
0.24	-0.061294128	0.014341633
0.26	-0.061294128	0.015567516
0.28	-0.061294128	0.016793398
0.3	-0.061294128	0.018019281
0.32	-0.061294128	0.019245163
0.34	-0.061294128	0.020471046
0.36	-0.051772643	0.021601714
0.38	-0.061294128	0.022732381
0.4	-0.061294128	0.023958264
0.42	-0.061294128	0.025184146
0.44	-0.061294128	0.026410029
0.46	-0.051772643	0.027540697
0.48	-0.061294128	0.028671364
0.5	-0.061294128	0.029897247
0.52	-0.061294128	0.031123129
0.54	-0.061294128	0.032349012
0.56	-0.061294128	0.033574895
0.58	-0.061294128	0.034800777
0.6	-0.061294128	0.03602666
0.62	-0.061294128	0.037252542
0.64	-0.061294128	0.038478425
0.66	-0.051772643	0.039609092
0.68	-0.061294128	0.04073976
0.7	-0.061294128	0.041965643
0.72	-0.051772643	0.04309631
0.74	-0.061294128	0.044226978
0.76	-0.061294128	0.045452861
0.78	-0.061294128	0.046678743
0.8	-0.061294128	0.047904626
0.82	-0.061294128	0.049130508
0.84	-0.061294128	0.050356391
0.86	-0.061294128	0.051582273
0.88	-0.061294128	0.052808156
0.9	-0.061294128	0.054034039
0.92	-0.061294128	0.055259921
0.94	-0.061294128	0.056485804
0.96	-0.061294128	0.057711686
0.98	-0.061294128	0.058937569
1	-0.061294128	0.060163451
1.02	-0.051772643	0.061294119
1.04	-0.061294128	0.062424787
1.06	-0.051772643	0.063555454
1.08	-0.051772643	0.064590907
1.1	-0.061294128	0.065721575
1.12	-0.061294128	0.066947458
1.14	-0.061294128	0.06817334
1.16	-0.061294128	0.069399223
1.18	-0.061294128	0.070625105
1.2	-0.061294128	0.071850988
1.22	-0.061294128	0.07307687
1.24	-0.061294128	0.074302753
1.26	-0.061294128	0.075528635
1.28	-0.061294128	0.076754518
1.3	-0.061294128	0.077980401
1.32	-0.061294128	0.079206283
1.34	-0.061294128	0.080432166
1.36	-0.051772643	0.081562833
1.38	-0.061294128	0.082693501
1.4	-0.061294128	0.083919384
1.42	-0.061294128	0.085145266
1.44	-0.061294128	0.086371149
1.46	-0.061294128	0.087597031
1.48	-0.061294128	0.088822914
1.5	-0.061294128	0.090048796
1.52	-0.061294128	0.091274679
1.54	-0.061294128	0.092500561
1.56	-0.061294128	0.093726444
1.58	-0.061294128	0.094952327
1.6	-0.061294128	0.096178209
1.62	-0.061294128	0.097404092
1.64	-0.061294128	0.098629974
1.66	-0.051772643	0.099760642
1.68	-0.061294128	0.10089131
1.7	-0.061294128	0.102117192
1.72	-0.061294128	0.103343075
1.74	-0.051772643	0.104473742
1.76	-0.051772643	0.105509195
1.78	-0.061294128	0.106639863
1.8	-0.071410705	0.107966911
1.82	-0.061294128	0.10929396
1.84	-0.061294128	0.110519842
1.86	-0.061294128	0.111745725
1.88	-0.061294128	0.112971607
1.9	-0.061294128	0.11419749
1.92	-0.061294128	0.115423372
1.94	-0.061294128	0.116649255
1.96	-0.061294128	0.117875138
1.98	-0.061294128	0.11910102
2	-0.061294128	0.120326903
2.02	-0.061294128	0.121552785
2.04	-0.061294128	0.122778668
2.06	-0.061294128	0.12400455
2.08	-0.061294128	0.125230433
2.1	-0.061294128	0.126456315
2.12	-0.061294128	0.127682198
2.14	-0.061294128	0.128908081
2.16	-0.061294128	0.130133963
2.18	-0.061294128	0.131359846
2.2	-0.051772643	0.132490513
2.22	-0.061294128	0.133621181
2.24	-0.061294128	0.134847064
2.26	-0.051772643	0.135977731
2.28	-0.051772643	0.137013184
2.3	-0.051772643	0.138048637
2.32	-0.061294128	0.139179305
2.34	-0.061294128	0.140405187
2.36	-0.061294128	0.14163107
2.38	-0.061294128	0.142856952
2.4	-0.061294128	0.144082835
2.42	-0.061294128	0.145308718
2.44	-0.061294128	0.1465346
2.46	-0.061294128	0.147760483
2.48	-0.051772643	0.14889115
2.5	-0.061294128	0.150021818
2.52	-0.061294128	0.151247701
2.54	-0.061294128	0.152473583
2.56	-0.051772643	0.153604251
2.58	-0.061294128	0.154734919
2.6	-0.061294128	0.155960801
2.62	-0.061294128	0.157186684
2.64	-0.061294128	0.158412566
2.66	-0.061294128	0.159638449
2.68	-0.051772643	0.160769116
2.7	-0.051772643	0.161804569
2.72	-0.051772643	0.162840022
2.74	-0.051772643	0.163875475
2.76	-0.051772643	0.164910928
2.78	-0.061294128	0.166041596
2.8	-0.061294128	0.167267478
2.82	-0.061294128	0.168493361
2.84	-0.061294128	0.169719243
2.86	-0.061294128	0.170945126
2.88	-0.061294128	0.172171008
2.9	-0.061294128	0.173396891
2.92	-0.061294128	0.174622773
2.94	-0.051772643	0.175753441
2.96	-0.061294128	0.176884109
2.98	-0.051772643	0.178014777
3	-0.051772643	0.179050229
3.02	-0.051772643	0.180085682
3.04	-0.042251158	0.18102592
3.06	-0.042251158	0.181870944
3.08	-0.051772643	0.182811182
3.1	-0.051772643	0.183846634
3.12	-0.042251158	0.184786872
3.14	-0.051772643	0.18572711
3.16	-0.061294128	0.186857778
3.18	-0.061294128	0.188083661
3.2	-0.061294128	0.189309543
3.22	-0.071410705	0.190636592
3.24	-0.071410705	0.192064806
3.26	-0.061294128	0.193391854
3.28	-0.061294128	0.194617737
3.3	-0.061294128	0.195843619
3.32	-0.061294128	0.197069502
3.34	-0.061294128	0.198295384
3.36	-0.051772643	0.199426052
3.38	-0.051772643	0.200461505
3.4	-0.061294128	0.201592172
3.42	-0.061294128	0.202818055
3.44	-0.051772643	0.203948723
3.46	-0.061294128	0.20507939
3.48	-0.032134581	0.206013678
3.5	-0.022613096	0.206561154
3.52	-0.032134581	0.207108631
3.54	-0.022613096	0.207656108
3.56	-0.013091612	0.208013155
3.58	-0.013091612	0.208274987
3.6	-0.032134581	0.208727249
3.62	-0.051772643	0.209566321
3.64	-0.061294128	0.210696989
3.66	-0.061294128	0.211922872
3.68	-0.051772643	0.213053539
3.7	-0.042251158	0.213993777
3.72	-0.042251158	0.2148388
3.74	-0.061294128	0.215874253
3.76	-0.100570252	0.217492897
3.78	-0.188048891	0.220379089
3.8	-0.255889469	0.224818472
3.82	-0.266006047	0.230037427
3.84	-0.226729923	0.234964787
3.86	-0.168410829	0.238916195
3.88	-0.120208314	0.241802386
3.9	-0.14936786	0.244498148
3.92	-0.266006047	0.248651887
3.94	-0.41180378	0.255429985
3.96	-0.567122997	0.265219253
3.98	-0.71292073	0.27801969
4	-0.781356401	0.292962461
4.02	-0.829558917	0.309071615
4.04	-0.88787801	0.326245984
4.06	-0.917037557	0.34429514
4.08	-1.014632774	0.363611843
4.1	-1.053313805	0.384291309
4.12	-1.160430507	0.406428752
4.14	-1.169951992	0.429732577
4.16	-1.160430507	0.453036402
4.18	-1.189590054	0.476536607
4.2	-1.228271085	0.500715219
4.22	-1.238387662	0.525381806
4.24	-1.267547209	0.550441155
4.26	-1.247909147	0.575595718
4.28	-1.209228116	0.600167091
4.3	-1.180068569	0.624060058
4.32	-1.140792445	0.647268668
4.34	-1.160430507	0.670280898
4.36	-1.150909022	0.693394293
4.38	-1.13127096	0.716216093
4.4	-1.111632898	0.738645131
4.42	-1.121749476	0.760978955
4.44	-1.072951867	0.782925968
4.46	-1.034270836	0.803998196
4.48	-1.034270836	0.824683612
4.5	-0.946197103	0.844488292
4.52	-0.868835041	0.862638613
4.54	-0.732558792	0.878652551
4.56	-0.606399121	0.892042131
4.58	-0.41180378	0.90222416
4.6	-0.266006047	0.909002258
4.62	-0.217208438	0.913834403
4.64	-0.168410829	0.917690595
4.66	-0.129729798	0.920672002
4.68	-0.071410705	0.922683407
4.7	0.016067935	0.923236834
4.72	0.171982245	0.921356333
4.74	0.317779978	0.91645871
4.76	0.443939649	0.908841514
4.78	0.51237532	0.899278364
4.8	0.551056351	0.888644048
4.82	0.629013506	0.876843349
4.84	0.667694538	0.863876269
4.86	0.677216022	0.850427163
4.88	0.696854084	0.836686462
4.9	0.706375569	0.822654165
4.92	0.716492146	0.808425488
4.94	0.716492146	0.794095645
4.96	0.735535115	0.779575373
4.98	0.726013631	0.764959885
5	0.716492146	0.750534827
5.02	0.735535115	0.736014555
5.04	0.735535115	0.721303853
5.06	0.726013631	0.706688365
5.08	0.696854084	0.692459688
5.1	0.667694538	0.678814202
5.12	0.629013506	0.665847121
5.14	0.59985396	0.653558447
5.16	0.570694413	0.641852963
5.18	0.560577836	0.63054024
5.2	0.570694413	0.619227518
5.22	0.570694413	0.60781363
5.24	0.560577836	0.596500907
5.26	0.570694413	0.585188185
5.28	0.560577836	0.573875462
5.3	0.551056351	0.56275912
5.32	0.521896805	0.552029589
5.34	0.483215773	0.541978463
5.36	0.443939649	0.532706909
5.38	0.414780103	0.524119711
5.4	0.405258618	0.515919324
5.42	0.395737134	0.507909367
